song_name,genre,target_mood,uri
Mercury: Retrograde,Dark Trap,Energized,spotify:track:2Vc6NJ9PW9gD9q343XFRKx
Pathology,Dark Trap,Calm,spotify:track:7pgJBLVz5VmnL7uGHmRj6p
Symbiote,Dark Trap,Happy,spotify:track:0vSWgAlfpye0WCGeNmuNhy
ProductOfDrugs (Prod. The Virus and Antidote),Dark Trap,Happy,spotify:track:0VSXnJqQkwuH2ei1nOQ1nu
Venom,Dark Trap,Energized,spotify:track:4jCeguq9rMTlbMmPHuO7S3
Gatteka,Dark Trap,Calm,spotify:track:6fsypiJHyWmeINsOLC1cos
kamikaze (+ pulse),Dark Trap,Happy,spotify:track:0XfQbq7DaMOmVXgQ71eA6E
T.R.U. (Totally Rotten Underground),Dark Trap,Energized,spotify:track:0LLeuNBWPOg3XA73yab3PT
I Put My Dick in Your Mental,Dark Trap,Happy,spotify:track:37gqBnUAZe8BY8WR56kDNk
Andromeda,Dark Trap,Energized,spotify:track:2ggqfj97qyiORmXoVFzP5j
BRAINFOOD,Dark Trap,Calm,spotify:track:7EL7ifncK2PWFYThJjzR25
Troll Under the Bridge,Dark Trap,Happy,spotify:track:0QiF3l617bIKVrkBqgdMHE
1000 Rounds,Dark Trap,Energized,spotify:track:5o7ZDvfOry1MNhNLBOJulo
Sacrifice,Dark Trap,Calm,spotify:track:1umsRbM7L4ju7rn9aU8Ju6
Backpack,Dark Trap,Energized,spotify:track:4SKqOHKYU5pgHr5UiVKiQN
D(R)Own,Dark Trap,Energized,spotify:track:4Ag89Y7qSUrpxcgRtSzSam
"Okay,ButThisIsTheLastTime",Dark Trap,Calm,spotify:track:28xkYPSP0P5xu5vT6MQfCy
TakingOutTheTrash,Dark Trap,Calm,spotify:track:3uE1swbcRp5BrO64UNy6Ex
Io sono qui,Dark Trap,Energized,spotify:track:3KJrwOuqiEwHq6QTreZT61
Paris,Dark Trap,Energized,spotify:track:4irYeuAi87yyGHcI4h9s0x
Murder,Dark Trap,Happy,spotify:track:4QhUXx4ON40TIBrZIlnIke
High 'N Mighty,Dark Trap,Energized,spotify:track:09320vyX4qHd4GjHIpy5w0
Euronymous,Dark Trap,Energized,spotify:track:2SZLtfY7dz7NLSxxnvDDis
Hades,Dark Trap,Energized,spotify:track:0KRKqIJPX6LT9v1ZQGbfn7
Nails,Dark Trap,Happy,spotify:track:0jsbEBnXWgHLkvjV49vYVG
Squeeze,Dark Trap,Energized,spotify:track:0wxwXyrJYHyGUKlBaCIhgp
No Teeth,Dark Trap,Energized,spotify:track:0vUhboOWxdj97denl4T91p
Bang Ya Fucking Head,Dark Trap,Happy,spotify:track:6xEnbXM1us9fDJy2LC0lru
BLUE JUICE,Dark Trap,Energized,spotify:track:4ZOxwKHoHlhIZPzucOUVoY
Loch Ness,Dark Trap,Energized,spotify:track:2AoJ1NSLrqfppo6oT5Bqc8
Hold Uh,Dark Trap,Energized,spotify:track:30Q5BsSJBLb9SGm0BtuJj4
Bone Saw,Dark Trap,Energized,spotify:track:3Xi5SYx5pOqte5tLKHEmPb
Coffin Wave,Dark Trap,Calm,spotify:track:2bmSQxuradc103RXzvjTkE
OhNo!,Dark Trap,Calm,spotify:track:2Tu4kHEeIVFn6Re2ybm2lQ
TheArtOfCremation,Dark Trap,Calm,spotify:track:0QVG9r2otIXoWCHyh09SqU
OakGroveRoad,Dark Trap,Energized,spotify:track:78w3kPqUAwDjADBY3xAGHl
WhatWasThat,Dark Trap,Calm,spotify:track:02803el8p3mKqcJzJ3Agpp
FunnyToSeeYouHere,Dark Trap,Calm,spotify:track:5Njf3sGQoxQJqcR4gUbttZ
John Dee,Dark Trap,Energized,spotify:track:7BLFY8GsDyUkaARTv0uwKH
Kybalion,Dark Trap,Energized,spotify:track:2bmjoUqk5ELqted5imBtMd
Killer,Dark Trap,Happy,spotify:track:4Uk53I7Lz6bzctGoyNxf8W
608,Dark Trap,Happy,spotify:track:7FoW7q7uZGOHlGi9w5mUxN
Eternal Dreams,Dark Trap,Happy,spotify:track:6dm3aVYUAfZtdFeLAG6R9F
Nightmare Choir (I Been Asleep Too Long),Dark Trap,Energized,spotify:track:5QArbhcHhpW48U4cK3Joj9
Exodus,Dark Trap,Happy,spotify:track:2Bkfvi3pCcwoJwnmd45OnA
Vengeance,Dark Trap,Happy,spotify:track:2XLdbJRfl2UHHzIurEFgAA
Claustrophobia,Dark Trap,Calm,spotify:track:2Iwf4sAnEgkuxxnJ61du8z
Rearranged,Dark Trap,Calm,spotify:track:04MKRNwoX7TqQkA0ZrtMbC
Paralax,Dark Trap,Calm,spotify:track:5DV8yoddFyjLVfRT6pfAht
Exsanguination,Dark Trap,Happy,spotify:track:1XKlzwkRZmyrz2OjVqNIyl
Mutiny,Dark Trap,Energized,spotify:track:78SOPBLZeBjDQ9NVTePOPE
Centipede,Dark Trap,Calm,spotify:track:1NJel5c5LSc9Ac7UAeoJtp
Грустная сука,Dark Trap,Happy,spotify:track:18hIrODUziu3KyUxeDKlcq
This World Is Sick,Dark Trap,Happy,spotify:track:04xhIz4DiBGDECn7kIFodv
Пламя,Dark Trap,Calm,spotify:track:6Q1LtmZPFRGNZbH6VdarBQ
2:45,Dark Trap,Happy,spotify:track:3uvKXKQxcmjPT7letWh3Pf
who is he,Dark Trap,Happy,spotify:track:1K86gziny1mnNIisKBqzhH
Sleeping,Dark Trap,Happy,spotify:track:7yvTs8trSYMtNNisA0nT73
Timeless,Dark Trap,Calm,spotify:track:3Pk6O7DndRfH1q6UFsCaWm
Pound for Pound,Dark Trap,Calm,spotify:track:5mPUo1HP5K4H6hepYHqbZx
Finger Trembling,Dark Trap,Happy,spotify:track:2x7mBK5ozd9hwneRKMVpkD
Overload,Dark Trap,Happy,spotify:track:3kBa1eXqkSvfCLmG8VqQ10
Kill Yourself (Part III),Dark Trap,Calm,spotify:track:5XAPpyIoYF3QXP34Hv8Pvx
2nd Hand,Dark Trap,Energized,spotify:track:4yORBk6ZyYsJpnJchyZevc
Antarctica,Dark Trap,Calm,spotify:track:3NSgQjYihV40pOmn8AQevz
Memoirs Of A Gorilla,Dark Trap,Happy,spotify:track:3SCVHoGHV7GL0hmqcOIpqh
Runnin' Thru The 7th With My Woadies,Dark Trap,Happy,spotify:track:70nmZhHZLNVYWP4NON41Zw
Mount Sinai,Dark Trap,Calm,spotify:track:4owRIrDAJPqNWGf2SGC3H8
FUCKTHEPOPULATION,Dark Trap,Calm,spotify:track:6yK9kwo8cBoVRNOylq0yNc
Magazine,Dark Trap,Energized,spotify:track:3bNCifwGPjqeeqzpjrFG9k
2 Hot 4 U (feat. $Uicdeboy$),Dark Trap,Energized,spotify:track:599cYawsBthDvauPoXNr7U
O Pana!,Dark Trap,Energized,spotify:track:2I12vOWeJU5ayhr6ha6esf
LTE,Dark Trap,Calm,spotify:track:0kCfKToIFZFQQAaSQHcjRL
Champion Of Death,Dark Trap,Energized,spotify:track:4XQDrALwqj4J1YPqg58sDV
Seppuku (feat. Suicideboy$ & Jgrxxn),Dark Trap,Energized,spotify:track:0AQXOzjEG2ofwGrDyqUY7H
